weight_field,baseline_value,multiplier,override_value,instance,rep,fitness,runtime_sec
range_margin_weight,0.42,1.0000,0.42,R102_25.txt,1,4318.4516,2.8626
range_margin_weight,0.42,1.0000,0.42,R102_25.txt,2,4315.0746,3.8544
range_margin_weight,0.42,1.0000,0.42,R102_25.txt,3,4303.0496,2.0265
range_margin_weight,0.42,1.0000,0.42,R102_25.txt,4,4272.8284,2.1462
range_margin_weight,0.42,1.0000,0.42,R102_25.txt,5,4300.8346,1.4221
range_margin_weight,0.42,1.0000,0.42,R201_50.txt,1,4114.8365,89.7719
range_margin_weight,0.42,1.0000,0.42,R201_50.txt,2,4090.4469,6.2924
range_margin_weight,0.42,1.0000,0.42,R201_50.txt,3,4049.7081,6.2160
range_margin_weight,0.42,1.0000,0.42,R201_50.txt,4,4110.9207,7.3424
range_margin_weight,0.42,1.0000,0.42,R201_50.txt,5,4091.8144,5.6584
range_margin_weight,0.42,1.0000,0.42,R202_100.txt,1,6057.1000,9.1534
range_margin_weight,0.42,1.0000,0.42,R202_100.txt,2,6048.0411,18.0988
range_margin_weight,0.42,1.0000,0.42,R202_100.txt,3,6029.8211,13.7473
range_margin_weight,0.42,1.0000,0.42,R202_100.txt,4,6089.9869,4.9061
range_margin_weight,0.42,1.0000,0.42,R202_100.txt,5,6203.7881,6.7323
range_margin_weight,0.42,1.1500,0.483,C102_50.txt,1,3053.8802,8.8376
range_margin_weight,0.42,1.1500,0.483,C102_50.txt,2,3015.3524,4.2064
range_margin_weight,0.42,1.1500,0.483,C102_50.txt,3,3058.2228,17.4211
range_margin_weight,0.42,1.1500,0.483,C102_50.txt,4,3016.9084,7.0482
range_margin_weight,0.42,1.1500,0.483,C102_50.txt,5,3058.2228,15.3235
range_margin_weight,0.42,1.1500,0.483,C201_100.txt,1,6533.7972,5.9266
range_margin_weight,0.42,1.1500,0.483,C201_100.txt,2,6984.6355,18.9652
range_margin_weight,0.42,1.1500,0.483,C201_100.txt,3,6415.8251,9.6521
range_margin_weight,0.42,1.1500,0.483,C201_100.txt,4,6388.3843,4.2843
range_margin_weight,0.42,1.1500,0.483,C201_100.txt,5,6995.7096,6.3593
range_margin_weight,0.42,1.1500,0.483,R102_25.txt,1,4318.4516,3.0891
range_margin_weight,0.42,1.1500,0.483,R102_25.txt,2,4315.0746,3.8049
range_margin_weight,0.42,1.1500,0.483,R102_25.txt,3,4303.0496,2.0206
range_margin_weight,0.42,1.1500,0.483,R102_25.txt,4,4272.8284,2.1979
range_margin_weight,0.42,1.1500,0.483,R102_25.txt,5,4300.8346,1.4869
range_margin_weight,0.42,1.1500,0.483,R201_50.txt,1,4064.8963,2.1591
range_margin_weight,0.42,1.1500,0.483,R201_50.txt,2,4090.4469,6.6975
range_margin_weight,0.42,1.1500,0.483,R201_50.txt,3,4049.7081,6.6971
range_margin_weight,0.42,1.1500,0.483,R201_50.txt,4,4110.9207,7.9345
range_margin_weight,0.42,1.1500,0.483,R201_50.txt,5,4091.8144,5.8877
range_margin_weight,0.42,1.1500,0.483,R202_100.txt,1,6057.1000,11.3913
range_margin_weight,0.42,1.1500,0.483,R202_100.txt,2,6048.0411,17.6453
range_margin_weight,0.42,1.1500,0.483,R202_100.txt,3,6029.8211,13.3840
range_margin_weight,0.42,1.1500,0.483,R202_100.txt,4,6089.9869,4.6238
range_margin_weight,0.42,1.1500,0.483,R202_100.txt,5,6203.7881,5.6935
range_margin_weight,0.42,1.3000,0.546,C102_50.txt,1,3053.4692,5.6902
range_margin_weight,0.42,1.3000,0.546,C102_50.txt,2,3015.3524,4.0682
range_margin_weight,0.42,1.3000,0.546,C102_50.txt,3,3058.2228,17.4035
range_margin_weight,0.42,1.3000,0.546,C102_50.txt,4,3016.9084,6.9348
range_margin_weight,0.42,1.3000,0.546,C102_50.txt,5,3058.2228,15.1127
range_margin_weight,0.42,1.3000,0.546,C201_100.txt,1,6533.7972,5.8062
range_margin_weight,0.42,1.3000,0.546,C201_100.txt,2,6990.5218,6.6870
range_margin_weight,0.42,1.3000,0.546,C201_100.txt,3,6415.8251,9.4838
range_margin_weight,0.42,1.3000,0.546,C201_100.txt,4,6388.3843,4.2682
range_margin_weight,0.42,1.3000,0.546,C201_100.txt,5,6995.7096,6.3731
range_margin_weight,0.42,1.3000,0.546,R102_25.txt,1,4318.4516,3.0885
range_margin_weight,0.42,1.3000,0.546,R102_25.txt,2,4331.6600,3.2801
range_margin_weight,0.42,1.3000,0.546,R102_25.txt,3,4303.0496,2.0823
range_margin_weight,0.42,1.3000,0.546,R102_25.txt,4,4272.8284,2.0622
range_margin_weight,0.42,1.3000,0.546,R102_25.txt,5,4300.8346,1.5614
range_margin_weight,0.42,1.3000,0.546,R201_50.txt,1,4064.8963,2.1201
range_margin_weight,0.42,1.3000,0.546,R201_50.txt,2,4090.4469,6.6106
range_margin_weight,0.42,1.3000,0.546,R201_50.txt,3,4049.7081,6.6494
range_margin_weight,0.42,1.3000,0.546,R201_50.txt,4,4110.9207,7.9309
range_margin_weight,0.42,1.3000,0.546,R201_50.txt,5,4091.8144,6.1287
range_margin_weight,0.42,1.3000,0.546,R202_100.txt,1,6057.1000,12.5393
range_margin_weight,0.42,1.3000,0.546,R202_100.txt,2,6045.3253,16.2586
range_margin_weight,0.42,1.3000,0.546,R202_100.txt,3,6029.8211,12.5721
range_margin_weight,0.42,1.3000,0.546,R202_100.txt,4,6089.9869,4.9428
range_margin_weight,0.42,1.3000,0.546,R202_100.txt,5,6117.7483,7.1104
range_margin_weight,0.42,1.5000,0.63,C102_50.txt,1,3053.4692,5.4631
range_margin_weight,0.42,1.5000,0.63,C102_50.txt,2,3015.3524,4.0351
range_margin_weight,0.42,1.5000,0.63,C102_50.txt,3,3058.2228,16.4957
range_margin_weight,0.42,1.5000,0.63,C102_50.txt,4,3016.9084,6.5642
range_margin_weight,0.42,1.5000,0.63,C102_50.txt,5,3016.9084,5.5175
range_margin_weight,0.42,1.5000,0.63,C201_100.txt,1,6533.7972,5.5787
range_margin_weight,0.42,1.5000,0.63,C201_100.txt,2,6990.5218,6.3496
range_margin_weight,0.42,1.5000,0.63,C201_100.txt,3,6982.3830,5.8669
range_margin_weight,0.42,1.5000,0.63,C201_100.txt,4,6388.3843,3.8574
range_margin_weight,0.42,1.5000,0.63,C201_100.txt,5,6420.0160,14.5621
range_margin_weight,0.42,1.5000,0.63,R102_25.txt,1,4318.4516,2.8001
range_margin_weight,0.42,1.5000,0.63,R102_25.txt,2,4381.5571,3.1885
